№;a;b;c;d;e
1;3;2;4;5;1
2;3;2;4;5;1
3;3;2;4;5;1
4;3;2;4;5;1
5;3;2;4;5;1
6;3;2;4;5;1
7;3;2;4;5;1
8;3;2;4;5;1
9;3;2;4;5;1
10;3;2;4;5;1
11;3;2;4;5;1
12;3;2;4;5;1
13;3;2;4;5;1
14;3;2;4;5;1
15;1;3;5;2;4
16;1;3;5;2;4
17;1;3;5;2;4
18;1;3;5;2;4
19;1;3;5;2;4
20;1;3;5;2;4
21;1;3;5;2;4
22;1;3;5;2;4
23;1;3;5;2;4
24;3;2;1;4;5
25;3;2;1;4;5
26;3;2;1;4;5
27;3;2;1;4;5
28;3;2;1;4;5
29;3;2;1;4;5
30;4;5;3;1;2
31;4;5;3;1;2
32;4;5;3;1;2
33;4;5;3;1;2
34;4;5;3;1;2
35;4;5;3;1;2
36;4;5;1;2;3
37;4;5;1;2;3
38;4;5;1;2;3
39;4;5;1;2;3
40;4;5;1;2;3
41;5;3;1;2;4
42;5;3;1;2;4
43;4;2;3;5;1
44;4;2;3;5;1
45;2;1;3;5;4
